pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context	match_type	host_score
36736844	The transcription factor CEBP homolog of Penaeus vannamei contributes to WSSV replication.	to play important roles in virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36736844	The transcription factor CEBP homolog of Penaeus vannamei contributes to WSSV replication.	functions in white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36736936	Activity of bovine lactoferrin in resistance to white spot syndrome virus infection in shrimp.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	3
36736936	Activity of bovine lactoferrin in resistance to white spot syndrome virus infection in shrimp.	resistance to white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36736936	Activity of bovine lactoferrin in resistance to white spot syndrome virus infection in shrimp.	that are effective against this virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36754116	An isothermal enzymatic recombinase amplification (ERA) assay for rapid and accurate detection of Enterocytozoon hepatop	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36754116	An isothermal enzymatic recombinase amplification (ERA) assay for rapid and accurate detection of Enterocytozoon hepatop	infectious hypodermal and hematopoietic necrosis virus	IHHNV	Parvoviridae	Penstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36754116	An isothermal enzymatic recombinase amplification (ERA) assay for rapid and accurate detection of Enterocytozoon hepatop	reactivity with white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36757137	Structural and functional characterization of RNA dependent RNA polymerase of 	rosenbergii nodavirus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	1
36757137	Structural and functional characterization of RNA dependent RNA polymerase of 	single stranded positive sense rna virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	1
36761772	Hallmarks of crustacean immune hemocytes at single-cell resolution.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	9
36761772	Hallmarks of crustacean immune hemocytes at single-cell resolution.	infection of white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	9
36779788	Mindin Activates Autophagy for Lipid Utilization and Facilitates White Spot Syndrome Virus Infection in Shrimp.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	5
36779788	Mindin Activates Autophagy for Lipid Utilization and Facilitates White Spot Syndrome Virus Infection in Shrimp.	and facilitates white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36779788	Mindin Activates Autophagy for Lipid Utilization and Facilitates White Spot Syndrome Virus Infection in Shrimp.	we report that mindin facilitates virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36779788	Mindin Activates Autophagy for Lipid Utilization and Facilitates White Spot Syndrome Virus Infection in Shrimp.	mindin facilitates white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36779788	Mindin Activates Autophagy for Lipid Utilization and Facilitates White Spot Syndrome Virus Infection in Shrimp.	ultimately providing energy for virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36779788	Mindin Activates Autophagy for Lipid Utilization and Facilitates White Spot Syndrome Virus Infection in Shrimp.	mechanism by which mindin facilitates virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36779788	Mindin Activates Autophagy for Lipid Utilization and Facilitates White Spot Syndrome Virus Infection in Shrimp.	importance white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36779788	Mindin Activates Autophagy for Lipid Utilization and Facilitates White Spot Syndrome Virus Infection in Shrimp.	stranded dna virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36841515	The first description of the blue swimming crab (Portunus pelagicus) transcriptome and immunological defense mechanism i	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	4
